composer,filename,filepath,pitch_range,average_pitch,pitch_class_entropy,leap_ratio,melodic_contour,interval_histogram_unique_count,key_stability,modulation_frequency,chord_vocabulary_size,dissonance_ratio,tonal_gravity,note_density,duration_variance,syncopation_index,rest_ratio,rhythmic_entropy,piece_length,repetition_ratio,dynamic_range,voice_count,texture_density
bach,maestro_Prelude_and_Fugue_in_C-sharp_Major__WTC_I.mid,data/midi/bach/maestro_Prelude_and_Fugue_in_C-sharp_Major__WTC_I.mid,47,63.35562310030395,0.8598794511858515,0.7378048780487805,0.4569536423841059,33,0.9559818322992244,1.8888888888888888,128,0.3026874115983027,0.65,0.9138888888888888,0.0934187240612255,0.8206686930091185,1.032638888888889,0.4457824606192173,90,0.9909575973084308,67,1,2.497431506849315
bach,bwv12.7.mid,data/midi/bach/bwv12.7.mid,43,65.42671009771988,0.7829392371978343,0.9084967320261438,0.2906574394463668,33,0.9161798019678076,0.0,14,0.1049457177322074,1.4285714285714284,5.482142857142857,0.1095290135704357,0.5993485342019544,0.0,0.5093378535746635,14,0.9989845740285948,0,5,4.769230769230769
bach,maestro_Prelude_and_Fugue_in_C-sharp_Minor__WTC_II.mid,data/midi/bach/maestro_Prelude_and_Fugue_in_C-sharp_Minor__WTC_II.mid,46,63.89770491803279,0.9060845645379336,0.7053805774278216,0.5017088174982912,38,0.966724968062629,2.0418848167539267,159,0.2936096718480138,0.275,1.9332347348404817,0.7594292872286422,0.820327868852459,1.3658356222269172,0.5712671553268153,191,0.9913874073099568,90,1,2.5676
bach,bwv140.7.mid,data/midi/bach/bwv140.7.mid,40,61.283687943262414,0.7930460896765612,0.9218009478672986,0.3115942028985507,26,0.9267121245081608,0.8,20,0.1328671328671328,0.2702702702702703,4.23,0.1166691816307026,0.5673758865248227,0.28,0.5622239035227792,25,0.9996497485587544,0,4,3.932432432432433
bach,bwv121.6.mid,data/midi/bach/bwv121.6.mid,36,59.795698924731184,0.872085953779763,0.9100719424460432,0.3717472118959107,30,0.9021296477050094,2.3529411764705883,30,0.1362831858407079,0.19801980198019803,4.102941176470588,0.4935702264873267,0.5985663082437276,0.1764705882352941,0.6251114991424288,17,0.9982445997519084,0,4,3.861386138613861
bach,maestro_Italian_Concerto__BWV_971__Complete_.mid,data/midi/bach/maestro_Italian_Concerto__BWV_971__Complete_.mid,51,65.44175317185697,0.8872239326546523,0.6384615384615384,0.4858590122414521,47,0.936079155242865,1.7357512953367875,150,0.3120200189835188,0.075,1.662423435419441,0.367145560625455,0.8619761630142253,1.341624500665776,0.4839341821826965,386,0.9934906852906384,90,1,2.393939393939394
bach,bwv144.3.mid,data/midi/bach/bwv144.3.mid,33,60.41111111111111,0.7863752268933838,0.9405204460966544,0.3181818181818182,30,0.9365199575106992,1.4285714285714284,13,0.1299435028248587,1.6483516483516483,4.821428571428571,0.0890294924554183,0.6111111111111112,0.0,0.5122542203204123,14,0.9999992455922372,0,4,3.945054945054945
bach,maestro_Prelude_and_Fugue_in_B-flat_Minor__WTC_II.mid,data/midi/bach/maestro_Prelude_and_Fugue_in_B-flat_Minor__WTC_II.mid,45,62.49932249322493,0.921136015598413,0.7410169491525423,0.501734906315059,38,0.9663094922329823,1.7679558011049723,160,0.2659166115155526,0.2,2.0161639157655094,0.4047865153660006,0.8387533875338753,1.4321001707455894,0.5852578436668324,181,0.9863675959449144,97,1,2.6935114503816795
bach,maestro_Prelude_and_Fugue_in_C_Major__WTC_II__BWV_846.mid,data/midi/bach/maestro_Prelude_and_Fugue_in_C_Major__WTC_II__BWV_846.mid,48,61.24173553719008,0.8953121706758268,0.7528438469493278,0.5063424947145877,35,0.9358342422530116,2.166666666666667,118,0.2558986539984165,0.125,1.8350710900473932,1.2352796296810138,0.7913223140495868,1.30916271721959,0.660914078565382,120,0.9868810462179904,101,1,3.043347381095725
bach,bwv123.6.mid,data/midi/bach/bwv123.6.mid,32,60.71014492753624,0.8557294432978123,0.8909090909090909,0.3100775193798449,25,0.9431546937249644,1.6666666666666663,17,0.1239837398373983,0.33707865168539325,1.9166666666666667,1.0793950850661629,0.3876811594202898,0.0,0.6104355771393023,24,0.9974842689091574,0,4,3.842696629213483
